Date,TWI,AUDUSD,AUDYEN,BB90,AuLonPM,AgLon,Cu,Pb,Al,Ni,Zn,Brent,Dubai,FeOreChina,HenHub,ThermCoalNew
31/01/2010,69.2,0.8909,80.12,3.97,1078.5,1775.05,7367.4,2352.18,2230.15,18405.55,2414.69,76.37,76.64,125.91,5.84,103.93
28/02/2010,69.5,0.8899,79.42,3.89,1108.25,1587.21,6867.69,2125.8,2053.29,19060.55,2158.82,74.31,73.55,127.62,5.32,100.92
31/03/2010,71.7,0.9159,85.55,4.16,1115.5,1715.46,7466.96,2162.71,2210.55,22467.17,2277.29,79.27,77.37,139.77,4.29,101.12
30/04/2010,72.5,0.93,87.49,4.4,1179.25,1816.83,7729.86,2272.18,2314.31,26028.5,2367.53,84.93,82.98,172.47,4.04,107.3
31/05/2010,67.5,0.849,77.71,4.52,1207.5,1842.24,6843.18,1876.82,2044.73,21930,1969.82,76.25,76.62,161.35,4.15,107.28
30/06/2010,67.3,0.8523,75.46,4.53,1244,1853.43,6501.5,1707.28,1929.41,19411.3,1746.51,74.84,73.98,143.63,4.8,105.2
31/07/2010,69.4,0.8986,77.67,4.56,1169,1793.98,6750.57,1843.97,1989.05,19548.52,1847.03,74.74,72.65,126.36,4.63,102.84
31/08/2010,69,0.8918,75.06,4.51,1246,1849.25,7302.67,2082.8,2110.44,21448.79,2047.48,76.69,74.35,145.34,4.31,96.19
30/09/2010,72.9,0.9667,80.58,4.62,1307,2061.12,7729.59,2192.85,2171.24,22690.14,2150.94,77.79,75.29,140.63,3.89,101.66
31/10/2010,72.7,0.9761,78.67,4.64,1346.75,2346.86,8289.76,2383.55,2342.18,23793.68,2373.56,82.92,80.34,148.48,3.43,104.41
30/11/2010,73,0.9618,80.88,4.79,1383.5,2657.2,8458.42,2364.98,2324.05,22836.23,2283.3,85.67,83.74,160.55,3.71,114.81
31/12/2010,75.8,1.0163,82.83,4.79,1405.5,2937.35,9152.86,2413.2,2356.67,24099.57,2287.32,91.8,89.18,168.53,4.25,126.74
31/01/2011,74,0.9924,81.43,4.78,1327,2855.15,9533.2,2583.98,2439.7,25621.23,2375.81,96.29,92.19,179.63,4.49,141.94
28/02/2011,75.5,1.0163,83,4.78,1402.5,3085.84,9880.94,2595.58,2515.26,28412.18,2473.45,103.96,99.88,187.18,4.09,137.53
31/03/2011,76.3,1.0334,85.6,4.76,1439,3594.61,9503.36,2624.02,2555.5,26710.35,2341.48,114.44,108.58,169.36,3.97,135.14
30/04/2011,78.9,1.09,88.91,4.77,1535.5,4279.79,9482.75,2719.35,2667.42,26332.17,2371.48,123.15,115.76,179.26,4.24,131.25
31/05/2011,77.8,1.0709,87.15,4.83,1536.5,3708.09,8931.68,2419.64,2587.21,24164.55,2159.6,114.46,108.84,177.1,4.31,127.63
30/06/2011,77.8,1.0739,86.33,4.78,1505.5,3584.09,9066.85,2524.99,2557.76,22420.93,2234.47,113.76,107.52,170.88,4.54,128.67
31/07/2011,78.4,1.0954,84.92,4.72,1628.5,3811.93,9650.46,2681.02,2525.43,23847.95,2397.75,116.46,109.98,172.98,4.42,129.38
31/08/2011,76.5,1.0691,81.85,4.4,1813.5,4030.2,8997.99,2393.06,2380.98,21864.68,2199.24,110.08,104.96,177.45,4.05,128.71
